k,m,logm_k
602,1695920646,3.32041
603,1695920646,3.31955
604,1695920646,3.31869
605,1695920646,3.31784
606,1695920646,3.31698
607,1695920646,3.31613
608,1695920646,3.31527
609,1695920646,3.31443
610,1695920646,3.31358
611,1695920646,3.31273
612,1695920646,3.31189
613,1851120885,3.32469
614,1851120885,3.32384
615,1985467327,3.33391
616,1985467327,3.33307
617,1985467327,3.33223
618,1985467327,3.33139
619,1985467327,3.33055
620,1985467327,3.32971
621,1985467327,3.32888
622,1985467327,3.32805
623,2250535280,3.34669
624,2250535280,3.34586
625,2250535280,3.34502
626,2250535280,3.34419
627,2250535280,3.34336
628,2250535280,3.34254
629,2250535280,3.34171
630,2250535280,3.34089
631,2250535280,3.34007
632,2250535280,3.33925
633,2250535280,3.33843
634,2250535280,3.33761
635,2250535280,3.3368
636,2250535280,3.33598
637,2250535280,3.33517
638,2250535280,3.33436
639,2250535280,3.33355
640,2250535280,3.33275
641,2800518637,3.36577
642,2800518637,3.36496
643,2954783772,3.37244
644,2954783772,3.37163
645,2954783772,3.37082
646,2954783772,3.37001
647,2954783772,3.36921
648,2954783772,3.36841
649,2954783772,3.3676
650,2954783772,3.3668
651,2954783772,3.366
652,2954783772,3.36521
653,2954783772,3.36441
654,2954783772,3.36362
655,2954783772,3.36282
656,2954783772,3.36203
657,2954783772,3.36124
658,2954783772,3.36046
659,3191079350,3.37152
660,3191079350,3.37074
661,3191079350,3.36995
662,3191079350,3.36917
663,3191079350,3.36838
664,3191079350,3.3676
665,3191079350,3.36682
666,3191079350,3.36604
667,3191079350,3.36527
668,3191079350,3.36449
669,3191079350,3.36372
670,3191079350,3.36295
671,3191079350,3.36218
672,3553822998,3.37794
673,3553822998,3.37717
674,3553822998,3.3764
675,3553822998,3.37563
676,3553822998,3.37487
677,3553822998,3.3741
678,3553822998,3.37334
679,3553822998,3.37258
680,3553822998,3.37181
681,3553822998,3.37106
682,3553822998,3.3703
683,3553822998,3.36954
684,3553822998,3.36879
685,3553822998,3.36803
686,3553822998,3.36728
687,3553822998,3.36653
688,3553822998,3.36578
689,3553822998,3.36503
690,3553822998,3.36428
691,3553822998,3.36354
692,3553822998,3.3628
693,3553822998,3.36205
694,3553822998,3.36131
695,3553822998,3.36057
696,3553822998,3.35983
697,3553822998,3.3591
698,3553822998,3.35836
699,3553822998,3.35763
700,3553822998,3.3569
701,3553822998,3.35616
702,3553822998,3.35543
703,3553822998,3.35471
704,3553822998,3.35398
705,3553822998,3.35325
706,3553822998,3.35253
707,3553822998,3.3518
708,3553822998,3.35108
709,3553822998,3.35036
710,3553822998,3.34964
711,3553822998,3.34892
712,3553822998,3.34821
713,3553822998,3.34749
714,3553822998,3.34678
715,3553822998,3.34607
716,3553822998,3.34535
717,3553822998,3.34464
718,3553822998,3.34394
719,3553822998,3.34323
720,3553822998,3.34252
721,3553822998,3.34182
722,3553822998,3.34111
723,3553822998,3.34041
724,3553822998,3.33971
725,3553822998,3.33901
726,3553822998,3.33831
727,3553822998,3.33761
728,3553822998,3.33692
729,3553822998,3.33622
730,3553822998,3.33553
731,3553822998,3.33484
732,3553822998,3.33415
